gene,CHR,BP
AT3G50360,3,50360
AT3G54620,3,54620
AT3G55360,3,55360
AT3G55430,3,55430
AT3G56920,3,56920
AT3G59120,3,59120
AT4G02150,4,2150
AT4G04880,4,4880
AT4G14630,4,14630
AT4G15765,4,15765
AT4G16765,4,16765
AT4G20480,4,20480
AT4G26220,4,26220
AT4G27240,4,27240
AT4G29180,4,29180
AT4G30370,4,30370
AT4G31130,4,31130
AT4G35270,4,35270
AT5G03550,5,3550
AT5G04050,5,4050
AT5G11060,5,11060
AT5G13480,5,13480
AT5G19000,5,19000
AT5G22450,5,22450
AT5G32450,5,32450
AT5G33207,5,33207
AT5G35923,5,35923
AT5G39860,5,39860
AT5G41480,5,41480
AT5G45710,5,45710
AT5G46340,5,46340
AT5G50400,5,50400
AT5G51200,5,51200
AT5G51270,5,51270
AT5G59560,5,59560
AT5G60600,5,60600
AT5G60770,5,60770
AT5G63670,5,63670
ATCG00190,C,190
ATCG01120,C,1120
AT1G05660,1,5660
AT1G12010,1,12010
AT1G13980,1,13980
AT1G15040,1,15040
AT1G18040,1,18040
AT1G18700,1,18700
AT1G25310,1,25310
AT1G29600,1,29600
AT1G32880,1,32880
AT1G53260,1,53260
AT1G53990,1,53990
AT1G61490,1,61490
AT1G72390,1,72390
AT1G72650,1,72650
AT1G76340,1,76340
AT1G78478,1,78478
AT1G79570,1,79570
AT1G80440,1,80440
AT2G02147,2,2147
AT2G16890,2,16890
AT2G18090,2,18090
AT2G20835,2,20835
AT2G26960,2,26960
AT2G32720,2,32720
AT2G33260,2,33260
AT2G37160,2,37160
AT2G41730,2,41730
AT2G42310,2,42310
AT2G42430,2,42430
AT2G43830,2,43830
AT3G04160,3,4160
AT3G09270,3,9270
AT3G09900,3,9900
AT3G10560,3,10560
AT3G11325,3,11325
AT3G12570,3,12570
AT3G12900,3,12900
AT3G13690,3,13690
AT3G14260,3,14260
AT3G16210,3,16210
AT3G17810,3,17810
AT3G20580,3,20580
AT3G22104,3,22104
AT3G23460,3,23460
AT3G24340,3,24340
AT3G29185,3,29185
AT3G46640,3,46640
AT3G49920,3,49920
AT3G59390,3,59390
AT3G60680,3,60680
AT3G61320,3,61320
AT4G00895,4,895
AT4G08320,4,8320
AT4G13395,4,13395
AT4G13780,4,13780
AT4G15540,4,15540
AT4G20725,4,20725
AT4G22170,4,22170
AT4G25830,4,25830
AT4G30110,4,30110
AT4G35500,4,35500
AT5G02140,5,2140
AT5G03610,5,3610
AT5G03840,5,3840
AT5G04690,5,4690
AT5G08210,5,8210
AT5G10680,5,10680
AT5G15130,5,15130
AT5G19070,5,19070
AT5G19410,5,19410
AT5G20510,5,20510
AT5G22200,5,22200
AT5G23700,5,23700
AT5G26230,5,26230
AT5G43210,5,43210
AT5G49710,5,49710
AT5G51545,5,51545
AT5G63595,5,63595
AT1G01030,1,1030
AT1G01980,1,1980
AT1G03750,1,3750
AT1G09380,1,9380
AT1G10640,1,10640
AT1G12850,1,12850
AT1G13609,1,13609
AT1G18300,1,18300
AT1G18835,1,18835
AT1G19190,1,19190
AT1G21700,1,21700
AT1G21790,1,21790
AT1G32060,1,32060
AT1G47395,1,47395
AT1G47990,1,47990
AT1G52450,1,52450
AT1G57840,1,57840
AT1G61820,1,61820
AT1G65220,1,65220
AT1G75280,1,75280
AT1G80020,1,80020
AT2G01275,2,1275
AT2G04820,2,4820
AT2G05590,2,5590
AT2G19080,2,19080
AT2G19960,2,19960
AT2G22088,2,22088
AT2G26420,2,26420
AT2G27580,2,27580
AT2G36400,2,36400
AT2G37280,2,37280
AT2G41610,2,41610
AT2G42560,2,42560
AT2G42810,2,42810
AT2G46500,2,46500
AT3G01310,3,1310
AT3G02840,3,2840
AT3G14185,3,14185
AT3G23540,3,23540
AT3G23900,3,23900
AT3G44540,3,44540
AT3G45160,3,45160
AT3G46230,3,46230
AT3G48730,3,48730
AT3G52560,3,52560
AT3G56250,3,56250
AT3G57680,3,57680
AT3G59950,3,59950
AT4G03030,4,3030
AT4G05050,4,5050
AT4G05420,4,5420
AT4G12290,4,12290
AT4G13340,4,13340
AT4G15310,4,15310
AT4G17530,4,17530
AT4G19600,4,19600
AT4G20460,4,20460
AT4G21820,4,21820
AT4G24570,4,24570
AT4G25880,4,25880
AT4G26530,4,26530
AT4G28860,4,28860
AT4G35300,4,35300
AT4G35470,4,35470
AT4G37630,4,37630
AT4G38270,4,38270
AT4G39560,4,39560
AT5G05530,5,5530
AT5G15680,5,15680
AT5G16990,5,16990
AT5G17260,5,17260
AT5G19910,5,19910
AT5G20740,5,20740
AT5G24850,5,24850
AT5G27910,5,27910
AT5G28145,5,28145
AT5G35375,5,35375
AT5G40980,5,40980
AT5G41400,5,41400
AT5G45810,5,45810
AT5G53090,5,53090
AT5G56590,5,56590
AT5G57130,5,57130
AT5G57685,5,57685
AT5G59300,5,59300
AT5G66052,5,66052
ATMG01130,M,1130
AT1G03920,1,3920
AT1G09070,1,9070
AT1G09795,1,9795
AT1G14345,1,14345
AT1G17110,1,17110
AT1G18335,1,18335
AT1G19230,1,19230
AT1G21840,1,21840
AT1G23730,1,23730
AT1G27760,1,27760
AT1G30230,1,30230
AT1G36050,1,36050
AT1G53540,1,53540
AT1G60650,1,60650
AT1G61270,1,61270
AT1G63770,1,63770
AT1G65340,1,65340
AT1G65680,1,65680
AT1G65920,1,65920
AT1G69510,1,69510
AT1G73460,1,73460
AT1G73750,1,73750
AT1G77525,1,77525
AT1G79250,1,79250
AT2G18540,2,18540
AT2G21140,2,21140
AT2G21610,2,21610
AT2G24350,2,24350
AT2G26130,2,26130
AT2G26450,2,26450
AT2G26660,2,26660
AT2G31830,2,31830
AT2G35990,2,35990
AT2G36230,2,36230
AT2G38060,2,38060
AT2G40460,2,40460
AT3G04445,3,4445
AT3G08947,3,8947
AT3G12600,3,12600
AT3G14730,3,14730
AT3G18990,3,18990
AT3G19420,3,19420
AT3G27340,3,27340
AT3G45080,3,45080
AT3G45880,3,45880
AT3G49600,3,49600
AT3G50390,3,50390
AT3G53410,3,53410
AT3G54826,3,54826
AT3G55530,3,55530
AT3G59370,3,59370
AT4G00420,4,420
AT4G07350,4,7350
AT4G14096,4,14096
AT4G15880,4,15880
AT4G19200,4,19200
AT4G22217,4,22217
AT4G26080,4,26080
AT4G28630,4,28630
AT4G29420,4,29420
AT4G38090,4,38090
AT5G01400,5,1400
AT5G03570,5,3570
AT5G08230,5,8230
AT5G09500,5,9500
AT5G11180,5,11180
AT5G14240,5,14240
AT5G14520,5,14520
AT5G18290,5,18290
AT5G19780,5,19780
AT5G20660,5,20660
AT5G35575,5,35575
AT5G46380,5,46380
AT5G46550,5,46550
AT5G48520,5,48520
AT5G50990,5,50990
AT5G52110,5,52110
AT5G57820,5,57820
AT5G57870,5,57870
AT5G60340,5,60340
AT5G62310,5,62310
AT5G64020,5,64020
AT5G64690,5,64690
AT5G65980,5,65980
AT1G05140,1,5140
AT1G05940,1,5940
AT1G06570,1,6570
AT1G07080,1,7080
AT1G07990,1,7990
AT1G08780,1,8780
AT1G13800,1,13800
AT1G15710,1,15710
AT1G16720,1,16720
AT1G23440,1,23440
AT1G26370,1,26370
AT1G30090,1,30090
AT1G32560,1,32560
AT1G34270,1,34270
AT1G43745,1,43745
AT1G52980,1,52980
AT1G59650,1,59650
AT1G62820,1,62820
AT1G63840,1,63840
AT1G68570,1,68570
AT1G74040,1,74040
AT1G76720,1,76720
AT1G76930,1,76930
AT1G79650,1,79650
AT2G04050,2,4050
AT2G04842,2,4842
AT2G18480,2,18480
AT2G21400,2,21400
AT2G22950,2,22950
AT2G24430,2,24430
AT2G26211,2,26211
AT2G31310,2,31310
AT2G36985,2,36985
AT2G40110,2,40110
AT2G42270,2,42270
AT2G44710,2,44710
AT2G45840,2,45840
AT3G02640,3,2640
AT3G05210,3,5210
AT3G05320,3,5320
AT3G05390,3,5390
AT3G12981,3,12981
AT3G17770,3,17770
AT3G19090,3,19090
AT3G20480,3,20480
AT3G22200,3,22200
AT3G46590,3,46590
AT3G46790,3,46790
AT3G54020,3,54020
AT4G01380,4,1380
AT4G02640,4,2640
AT4G12610,4,12610
AT4G17520,4,17520
AT4G19730,4,19730
AT4G21660,4,21660
AT4G25580,4,25580
AT4G27435,4,27435
AT4G29140,4,29140
AT4G29470,4,29470
AT4G30690,4,30690
AT4G30975,4,30975
AT4G33140,4,33140
AT4G38930,4,38930
AT4G39260,4,39260
AT5G06120,5,6120
AT5G06400,5,6400
AT5G09530,5,9530
AT5G12430,5,12430
AT5G12440,5,12440
AT5G13440,5,13440
AT5G14380,5,14380
AT5G14410,5,14410
AT5G17430,5,17430
AT5G23730,5,23730
AT5G24650,5,24650
AT5G35560,5,35560
AT5G38360,5,38360
AT5G41800,5,41800
AT5G43580,5,43580
AT5G43725,5,43725
AT5G44790,5,44790
AT5G44800,5,44800
AT5G46220,5,46220
AT5G46620,5,46620
AT5G47170,5,47170
AT5G48110,5,48110
AT5G49070,5,49070
AT5G50860,5,50860
AT5G52330,5,52330
AT5G56130,5,56130
AT5G56860,5,56860
AT5G61620,5,61620
AT5G62090,5,62090
AT5G66160,5,66160
ATCG00210,C,210
AT1G02030,1,2030
AT1G04310,1,4310
AT1G13590,1,13590
AT1G13970,1,13970
AT1G19840,1,19840
AT1G22740,1,22740
AT1G23160,1,23160
AT1G24180,1,24180
AT1G24735,1,24735
AT1G31173,1,31173
AT1G32510,1,32510
AT1G33230,1,33230
AT1G49005,1,49005
AT1G50600,1,50600
AT1G51030,1,51030
AT1G63720,1,63720
AT1G65300,1,65300
AT1G66200,1,66200
AT1G73370,1,73370
AT1G78720,1,78720
AT1G78910,1,78910
AT2G14835,2,14835
AT2G18230,2,18230
AT2G26230,2,26230
AT2G27090,2,27090
AT2G27430,2,27430
AT2G27800,2,27800
AT2G30340,2,30340
AT2G36695,2,36695
AT2G38230,2,38230
AT2G38995,2,38995
AT2G39040,2,39040
AT2G44150,2,44150
AT2G46550,2,46550
AT2G47560,2,47560
AT2G48130,2,48130
AT3G04300,3,4300
AT3G05860,3,5860
AT3G07050,3,7050
AT3G08490,3,8490
AT3G11020,3,11020
AT3G11430,3,11430
AT3G19220,3,19220
AT3G26744,3,26744
AT3G29290,3,29290
AT3G47340,3,47340
AT3G57930,3,57930
AT3G58750,3,58750
AT4G13230,4,13230
AT4G14720,4,14720
AT4G15990,4,15990
AT4G16360,4,16360
AT4G18760,4,18760
AT4G22250,4,22250
AT4G24520,4,24520
AT4G25200,4,25200
AT4G25390,4,25390
AT4G26970,4,26970
AT5G01340,5,1340
AT5G02540,5,2540
AT5G05230,5,5230
AT5G07550,5,7550
AT5G09850,5,9850
AT5G11110,5,11110
AT5G11540,5,11540
AT5G12020,5,12020
AT5G17250,5,17250
AT5G22940,5,22940
AT5G23860,5,23860
AT5G37280,5,37280
AT5G38750,5,38750
AT5G39750,5,39750
AT5G39940,5,39940
AT5G41410,5,41410
AT5G42750,5,42750
AT5G42760,5,42760
AT5G43520,5,43520
AT5G46640,5,46640
AT5G47950,5,47950
AT5G49400,5,49400
AT5G49860,5,49860
AT5G50760,5,50760
AT5G50940,5,50940
AT5G52230,5,52230
AT5G57815,5,57815
AT5G57887,5,57887
AT5G58680,5,58680
AT5G58760,5,58760
AT5G59190,5,59190
AT5G63140,5,63140
AT1G02900,1,2900
AT1G06410,1,6410
AT1G09140,1,9140
AT1G10680,1,10680
AT1G14160,1,14160
AT1G17285,1,17285
AT1G21050,1,21050
AT1G28450,1,28450
AT1G32760,1,32760
AT1G49980,1,49980
AT1G52130,1,52130
AT1G55980,1,55980
AT1G62750,1,62750
AT1G66500,1,66500
AT1G71740,1,71740
AT1G75270,1,75270
AT1G75700,1,75700
AT1G76240,1,76240
AT2G04025,2,4025
AT2G10810,2,10810
AT2G17870,2,17870
AT2G27970,2,27970
AT2G43600,2,43600
AT2G46810,2,46810
AT3G01270,3,1270
AT3G02400,3,2400
AT3G13060,3,13060
AT3G14075,3,14075
AT3G15395,3,15395
AT3G22550,3,22550
AT3G28650,3,28650
AT3G29410,3,29410
AT3G29430,3,29430
AT3G48330,3,48330
AT3G52260,3,52260
AT3G58630,3,58630
AT3G60647,3,60647
AT4G00910,4,910
AT4G05475,4,5475
AT4G10130,4,10130
AT4G11950,4,11950
AT4G12917,4,12917
AT4G13730,4,13730
AT4G16520,4,16520
AT4G18450,4,18450
AT4G18970,4,18970
AT4G23000,4,23000
AT4G27650,4,27650
AT4G30850,4,30850
AT4G33410,4,33410
AT4G36890,4,36890
AT4G38250,4,38250
AT4G39000,4,39000
AT5G04238,5,4238
AT5G04600,5,4600
AT5G11320,5,11320
AT5G16120,5,16120
AT5G17870,5,17870
AT5G18020,5,18020
AT5G18065,5,18065
AT5G18270,5,18270
AT5G20270,5,20270
AT5G22950,5,22950
AT5G25310,5,25310
AT5G25520,5,25520
AT5G41360,5,41360
AT5G42870,5,42870
AT5G43060,5,43060
AT5G50175,5,50175
AT5G52040,5,52040
AT5G58375,5,58375
AT1G04330,1,4330
AT1G06090,1,6090
AT1G06930,1,6930
AT1G07400,1,7400
AT1G12370,1,12370
AT1G14530,1,14530
AT1G16790,1,16790
AT1G23350,1,23350
AT1G26170,1,26170
AT1G27921,1,27921
AT1G28820,1,28820
AT1G28840,1,28840
AT1G35830,1,35830
AT1G36060,1,36060
AT1G46264,1,46264
AT1G58220,1,58220
AT1G59910,1,59910
AT1G62480,1,62480
AT1G63080,1,63080
AT1G65650,1,65650
AT1G70100,1,70100
AT1G74970,1,74970
AT1G80360,1,80360
AT2G16910,2,16910
AT2G18320,2,18320
AT2G25625,2,25625
AT2G25650,2,25650
AT2G26430,2,26430
AT2G34590,2,34590
AT2G34840,2,34840
AT2G37220,2,37220
AT2G39980,2,39980
AT2G41520,2,41520
AT2G43720,2,43720
AT3G01420,3,1420
AT3G07480,3,7480
AT3G08960,3,8960
AT3G15060,3,15060
AT3G15380,3,15380
AT3G27750,3,27750
AT3G45970,3,45970
AT3G56740,3,56740
AT3G56810,3,56810
AT3G59100,3,59100
AT3G62380,3,62380
AT3G63220,3,63220
AT4G00440,4,440
AT4G02610,4,2610
AT4G03190,4,3190
AT4G03816,4,3816
AT4G04870,4,4870
AT4G06615,4,6615
AT4G08920,4,8920
AT4G12020,4,12020
AT4G13270,4,13270
AT4G14305,4,14305
AT4G21650,4,21650
AT4G25190,4,25190
AT4G31320,4,31320
AT4G33350,4,33350
AT5G01060,5,1060
AT5G10660,5,10660
AT5G17860,5,17860
AT5G18540,5,18540
AT5G19790,5,19790
AT5G38220,5,38220
AT5G39900,5,39900
AT5G41040,5,41040
AT5G42120,5,42120
AT5G43350,5,43350
AT5G46850,5,46850
AT5G51990,5,51990
AT5G59020,5,59020
AT5G60860,5,60860
AT5G65620,5,65620
AT1G01360,1,1360
AT1G01910,1,1910
AT1G04650,1,4650
AT1G05120,1,5120
AT1G05890,1,5890
AT1G07710,1,7710
AT1G11430,1,11430
AT1G11910,1,11910
AT1G12320,1,12320
AT1G14220,1,14220
AT1G14570,1,14570
AT1G15060,1,15060
AT1G19210,1,19210
AT1G20670,1,20670
AT1G21600,1,21600
AT1G26250,1,26250
AT1G29490,1,29490
AT1G32380,1,32380
AT1G47625,1,47625
AT1G51840,1,51840
AT1G53680,1,53680
AT1G63470,1,63470
AT1G68510,1,68510
AT1G70420,1,70420
AT1G70860,1,70860
AT1G71930,1,71930
AT1G72320,1,72320
AT1G74055,1,74055
AT1G75630,1,75630
AT1G77131,1,77131
AT1G79960,1,79960
AT2G01970,2,1970
AT2G02990,2,2990
AT2G15350,2,15350
AT2G20120,2,20120
AT2G23080,2,23080
AT2G24090,2,24090
AT2G28050,2,28050
AT2G30020,2,30020
AT2G31450,2,31450
AT2G32770,2,32770
AT2G33800,2,33800
AT2G39120,2,39120
AT2G46030,2,46030
AT3G02210,3,2210
AT3G10400,3,10400
AT3G27530,3,27530
AT3G28620,3,28620
AT3G44510,3,44510
AT3G48070,3,48070
AT3G49330,3,49330
AT3G49860,3,49860
AT3G51930,3,51930
AT3G56900,3,56900
AT3G61113,3,61113
AT3G63250,3,63250
AT4G04426,4,4426
AT4G04970,4,4970
AT4G14160,4,14160
AT4G15900,4,15900
AT4G19810,4,19810
AT4G22000,4,22000
AT4G22020,4,22020
AT4G22380,4,22380
AT4G24275,4,24275
AT4G24510,4,24510
AT4G29340,4,29340
AT4G32210,4,32210
AT4G32810,4,32810
AT4G40080,4,40080
AT5G01990,5,1990
AT5G05410,5,5410
AT5G08350,5,8350
AT5G11720,5,11720
AT5G12120,5,12120
AT5G19310,5,19310
AT5G24490,5,24490
AT5G25240,5,25240
AT5G36880,5,36880
AT5G42510,5,42510
AT5G42660,5,42660
AT5G42880,5,42880
AT5G42890,5,42890
AT5G46070,5,46070
AT5G46840,5,46840
AT5G47400,5,47400
AT5G48320,5,48320
AT5G51460,5,51460
AT5G53970,5,53970
AT5G55680,5,55680
AT5G55710,5,55710
AT5G57590,5,57590
AT5G63905,5,63905
AT5G64080,5,64080
AT5G66815,5,66815
AT1G09800,1,9800
AT1G14400,1,14400
AT1G20470,1,20470
AT1G24240,1,24240
AT1G26360,1,26360
AT1G29357,1,29357
AT1G32150,1,32150
AT1G33490,1,33490
AT1G43880,1,43880
AT1G50830,1,50830
AT1G53580,1,53580
AT1G54340,1,54340
AT1G55920,1,55920
AT1G58007,1,58007
AT1G59940,1,59940
AT1G64220,1,64220
AT1G69480,1,69480
AT1G69880,1,69880
AT1G73760,1,73760
AT1G75163,1,75163
AT1G80640,1,80640
AT2G03050,2,3050
AT2G13890,2,13890
AT2G17350,2,17350
AT2G20000,2,20000
AT2G23820,2,23820
AT2G28960,2,28960
AT2G32200,2,32200
AT2G32460,2,32460
AT2G33130,2,33130
AT2G33440,2,33440
AT2G33855,2,33855
AT2G37100,2,37100
AT2G37440,2,37440
AT2G39430,2,39430
AT2G42440,2,42440
AT3G04320,3,4320
AT3G07080,3,7080
AT3G07274,3,7274
AT3G12810,3,12810
AT3G14070,3,14070
AT3G14910,3,14910
AT3G17050,3,17050
AT3G24540,3,24540
AT3G25655,3,25655
AT3G42800,3,42800
AT3G44940,3,44940
AT3G52340,3,52340
AT3G53480,3,53480
AT3G58220,3,58220
AT3G60700,3,60700
AT3G63460,3,63460
AT4G01535,4,1535
AT4G02485,4,2485
AT4G06744,4,6744
AT4G16640,4,16640
AT4G17240,4,17240
AT4G19960,4,19960
AT4G25250,4,25250
AT4G26110,4,26110
AT4G29780,4,29780
AT4G30420,4,30420
AT4G31010,4,31010
AT4G31120,4,31120
AT4G33200,4,33200
AT4G33490,4,33490
AT4G34290,4,34290
AT4G39120,4,39120
AT5G05790,5,5790
AT5G06060,5,6060
AT5G15120,5,15120
AT5G25752,5,25752
AT5G28610,5,28610
AT5G40150,5,40150
AT5G42450,5,42450
AT5G42785,5,42785
AT5G50060,5,50060
AT5G50210,5,50210
AT5G51440,5,51440
AT5G54770,5,54770
AT5G56140,5,56140
AT5G56780,5,56780
AT5G58600,5,58600
AT5G63600,5,63600
AT5G65240,5,65240
AT5G66710,5,66710
ATCG00240,C,240
ATCG00630,C,630
AT1G02700,1,2700
AT1G02980,1,2980
AT1G03620,1,3620
AT1G05830,1,5830
AT1G11545,1,11545
AT1G12230,1,12230
AT1G12910,1,12910
AT1G13480,1,13480
AT1G14680,1,14680
AT1G15270,1,15270
AT1G17310,1,17310
AT1G18080,1,18080
AT1G19090,1,19090
AT1G19115,1,19115
AT1G19830,1,19830
AT1G20220,1,20220
AT1G24190,1,24190
AT1G24620,1,24620
AT1G28310,1,28310
AT1G29370,1,29370
AT1G32120,1,32120
AT1G32200,1,32200
AT1G53950,1,53950
AT1G54350,1,54350
AT1G54520,1,54520
AT1G63180,1,63180
AT1G68920,1,68920
AT1G79510,1,79510
AT1G79860,1,79860
AT2G01300,2,1300
AT2G25090,2,25090
AT2G27120,2,27120
AT2G35310,2,35310
AT2G38330,2,38330
AT2G40730,2,40730
AT2G41300,2,41300
AT2G46410,2,46410
AT2G46950,2,46950
AT2G48010,2,48010
AT3G02240,3,2240
AT3G03140,3,3140
AT3G04960,3,4960
AT3G06720,3,6720
AT3G07310,3,7310
AT3G16340,3,16340
AT3G16540,3,16540
AT3G16712,3,16712
AT3G21340,3,21340
AT3G24890,3,24890
AT3G50710,3,50710
AT3G51370,3,51370
AT3G51642,3,51642
AT3G58610,3,58610
AT3G61680,3,61680
AT4G00710,4,710
AT4G00990,4,990
AT4G02900,4,2900
AT4G10090,4,10090
AT4G16980,4,16980
AT4G18230,4,18230
AT4G19010,4,19010
AT4G19530,4,19530
AT4G20880,4,20880
AT4G21110,4,21110
AT4G25560,4,25560
AT4G32050,4,32050
AT4G33460,4,33460
AT4G34131,4,34131
AT4G38390,4,38390
AT5G01170,5,1170
AT5G01240,5,1240
AT5G06690,5,6690
AT5G08420,5,8420
AT5G10220,5,10220
AT5G10480,5,10480
AT5G14370,5,14370
AT5G16240,5,16240
AT5G18525,5,18525
AT5G18910,5,18910
AT5G18960,5,18960
AT5G40690,5,40690
AT5G41220,5,41220
AT5G46871,5,46871
AT5G47440,5,47440
AT5G50150,5,50150
AT5G50900,5,50900
AT5G54660,5,54660
AT5G59820,5,59820
AT5G62270,5,62270
AT5G62900,5,62900
AT5G65450,5,65450
AT1G05055,1,5055
AT1G11700,1,11700
AT1G12400,1,12400
AT1G14270,1,14270
AT1G17580,1,17580
AT1G19770,1,19770
AT1G22640,1,22640
AT1G22990,1,22990
AT1G28280,1,28280
AT1G30290,1,30290
AT1G31740,1,31740
AT1G32460,1,32460
AT1G48400,1,48400
AT1G48580,1,48580
AT1G48970,1,48970
AT1G49960,1,49960
AT1G56290,1,56290
AT1G67840,1,67840
AT1G68935,1,68935
AT1G71120,1,71120
AT1G73445,1,73445
AT1G80340,1,80340
AT2G14530,2,14530
AT2G15292,2,15292
AT2G16970,2,16970
AT2G20060,2,20060
AT2G22230,2,22230
AT2G29390,2,29390
AT2G31345,2,31345
AT2G38465,2,38465
AT2G45730,2,45730
AT2G46920,2,46920
AT2G47530,2,47530
AT2G47810,2,47810
AT2G47860,2,47860
AT2G47930,2,47930
AT2G48090,2,48090
AT3G01200,3,1200
AT3G07070,3,7070
AT3G13400,3,13400
AT3G18030,3,18030
AT3G23450,3,23450
AT3G27870,3,27870
AT3G47300,3,47300
AT3G47850,3,47850
AT3G54085,3,54085
AT3G57290,3,57290
AT3G57300,3,57300
AT3G61180,3,61180
AT3G61400,3,61400
AT3G63300,3,63300
AT3G63320,3,63320
AT4G00238,4,238
AT4G00940,4,940
AT4G10950,4,10950
AT4G24220,4,24220
AT4G27790,4,27790
AT4G27830,4,27830
AT4G40045,4,40045
AT4G40090,4,40090
AT5G01940,5,1940
AT5G04370,5,4370
AT5G04400,5,4400
AT5G09910,5,9910
AT5G09960,5,9960
AT5G13510,5,13510
AT5G13880,5,13880
AT5G17550,5,17550
AT5G23450,5,23450
AT5G33399,5,33399
AT5G39493,5,39493
AT5G41685,5,41685
AT5G56090,5,56090
AT5G58170,5,58170
AT5G59140,5,59140
AT5G59700,5,59700
AT5G59930,5,59930
AT5G60540,5,60540
AT5G63130,5,63130
AT5G63350,5,63350
AT5G64440,5,64440
AT5G65158,5,65158
AT1G02400,1,2400
AT1G06340,1,6340
AT1G08910,1,8910
AT1G10980,1,10980
AT1G14390,1,14390
AT1G15750,1,15750
AT1G17980,1,17980
AT1G31440,1,31440
AT1G62040,1,62040
AT1G62280,1,62280
AT1G63290,1,63290
AT1G74400,1,74400
AT2G03720,2,3720
AT2G33240,2,33240
AT2G45100,2,45100
AT2G46850,2,46850
AT2G47950,2,47950
AT3G09220,3,9220
AT3G12270,3,12270
AT3G13800,3,13800
AT3G18362,3,18362
AT3G22530,3,22530
AT3G24360,3,24360
AT3G25585,3,25585
AT3G26818,3,26818
AT3G27570,3,27570
AT3G43790,3,43790
AT3G47720,3,47720
AT3G47790,3,47790
AT3G48560,3,48560
AT3G51090,3,51090
AT3G51290,3,51290
AT3G57890,3,57890
AT3G62950,3,62950
AT3G63470,3,63470
AT4G02090,4,2090
AT4G04310,4,4310
AT4G06534,4,6534
AT4G08460,4,8460
AT4G09110,4,9110
AT4G11650,4,11650
AT4G16650,4,16650
AT4G25400,4,25400
AT4G28570,4,28570
AT4G33610,4,33610
AT4G37620,4,37620
AT4G38540,4,38540
AT4G38940,4,38940
AT5G03905,5,3905
AT5G07060,5,7060
AT5G09876,5,9876
AT5G14980,5,14980
AT5G15270,5,15270
AT5G16000,5,16000
AT5G22890,5,22890
AT5G24160,5,24160
AT5G26320,5,26320
AT5G39240,5,39240
AT5G40090,5,40090
AT5G41310,5,41310
AT5G45150,5,45150
AT5G47000,5,47000
AT5G47590,5,47590
AT5G48335,5,48335
AT5G48460,5,48460
AT5G56180,5,56180
AT5G56300,5,56300
AT5G58240,5,58240
AT1G04220,1,4220
AT1G04425,1,4425
AT1G07360,1,7360
AT1G13610,1,13610
AT1G14970,1,14970
AT1G16890,1,16890
AT1G18970,1,18970
AT1G29710,1,29710
AT1G32400,1,32400
AT1G35130,1,35130
AT1G35320,1,35320
AT1G43245,1,43245
AT1G47980,1,47980
AT1G50190,1,50190
AT1G52120,1,52120
AT1G57830,1,57830
AT1G63020,1,63020
AT1G70880,1,70880
AT1G78710,1,78710
AT2G01900,2,1900
AT2G02890,2,2890
AT2G18115,2,18115
AT2G25410,2,25410
AT2G37880,2,37880
AT2G38100,2,38100
AT2G39290,2,39290
AT2G42790,2,42790
AT2G45230,2,45230
AT2G46630,2,46630
AT3G02880,3,2880
AT3G05240,3,5240
AT3G12143,3,12143
AT3G21870,3,21870
AT3G26610,3,26610
AT3G27500,3,27500
AT3G28958,3,28958
AT3G47620,3,47620
AT3G48235,3,48235
AT3G53450,3,53450
AT3G60550,3,60550
AT4G03000,4,3000
AT4G10780,4,10780
AT4G18070,4,18070
AT4G30662,4,30662
AT5G07560,5,7560
AT5G11520,5,11520
AT5G13380,5,13380
AT5G13580,5,13580
AT5G13660,5,13660
AT5G15790,5,15790
AT5G15960,5,15960
AT5G17330,5,17330
AT5G28525,5,28525
AT5G28840,5,28840
AT5G35380,5,35380
AT5G38870,5,38870
AT5G42980,5,42980
AT5G47180,5,47180
AT5G49820,5,49820
AT5G49970,5,49970
AT5G50030,5,50030
AT5G59530,5,59530
AT1G01810,1,1810
AT1G14900,1,14900
AT1G14950,1,14950
AT1G19900,1,19900
AT1G49660,1,49660
AT1G54280,1,54280
AT1G59750,1,59750
AT1G64430,1,64430
AT1G69295,1,69295
AT1G73280,1,73280
AT1G77170,1,77170
AT1G77640,1,77640
AT2G04760,2,4760
AT2G04865,2,4865
AT2G14115,2,14115
AT2G16405,2,16405
AT2G23945,2,23945
AT2G24640,2,24640
AT2G28560,2,28560
AT2G30640,2,30640
AT2G31350,2,31350
AT2G31425,2,31425
AT2G34350,2,34350
AT2G34390,2,34390
AT2G34700,2,34700
AT2G40090,2,40090
AT2G41420,2,41420
AT2G47040,2,47040
AT3G01660,3,1660
AT3G10680,3,10680
AT3G16200,3,16200
AT3G16710,3,16710
AT3G17970,3,17970
AT3G46760,3,46760
AT3G47710,3,47710
AT3G57170,3,57170
AT3G57720,3,57720
AT3G60600,3,60600
AT4G16880,4,16880
AT4G24175,4,24175
AT4G28850,4,28850
AT4G28890,4,28890
AT4G33390,4,33390
AT4G35010,4,35010
AT4G35640,4,35640
AT5G02910,5,2910
AT5G04000,5,4000
AT5G04360,5,4360
AT5G07070,5,7070
AT5G11770,5,11770
AT5G15190,5,15190
AT5G16910,5,16910
AT5G17340,5,17340
AT5G18440,5,18440
AT5G18720,5,18720
AT5G23840,5,23840
AT5G45630,5,45630
AT5G53486,5,53486
AT5G58300,5,58300
AT5G61270,5,61270
