"gene","accession_idsorted","LAP_SD_WW","annotation","symbol"
"AT5G42130",9557,-0.24,"Mitochondrial substrate carrier family protein(Mfl1)","Mfl1"
"AT5G42200",9587,-0.24,"RING/U-box superfamily protein(AT5G42200)","AT5G42200"
"AT5G44410",9944,-0.24,"FAD-binding Berberine family protein(AT5G44410)","AT5G44410"
"AT5G46660",9601,-0.24,"protein kinase C-like zinc finger protein(AT5G46660)","AT5G46660"
"AT5G47830",9905,-0.24,"hypothetical protein(AT5G47830)","AT5G47830"
"AT5G50110",9547,-0.24,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G50110)","AT5G50110"
"AT5G51720",9518,-0.24,"2 iron, 2 sulfur cluster binding protein(NEET)","NEET"
"AT5G51980",9846,-0.24,"Transducin/WD40 repeat-like superfamily protein(AT5G51980)","AT5G51980"
"AT5G52390",9845,-0.24,"PAR1 protein(AT5G52390)","AT5G52390"
"AT5G52840",9880,-0.24,"NADH-ubiquinone oxidoreductase-like protein(AT5G52840)","AT5G52840"
"AT5G54206",9845,-0.24,"miscRNA(AT5G54206)","AT5G54206"
"AT5G54900",9588,-0.24,"RNA-binding protein 45A(RBP45A)","RBP45A"
"AT5G55050",9905,-0.24,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT5G55050)","AT5G55050"
"AT5G55070",6970,-0.24,"Dihydrolipoamide succinyltransferase(AT5G55070)","AT5G55070"
"AT5G58750",9587,-0.24,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G58750)","AT5G58750"
"AT5G59130",9567,-0.24,"Subtilase family protein(AT5G59130)","AT5G59130"
"AT5G60870",9550,-0.24,"Regulator of chromosome condensation (RCC1) family protein(RUG3)","RUG3"
"AT5G61430",9846,-0.24,"NAC domain containing protein 100(NAC100)","NAC100"
"AT5G64400",9846,-0.24,"CHCH domain protein(AT5G64400)","AT5G64400"
"AT5G65060",9846,-0.24,"K-box region and MADS-box transcription factor family protein(MAF3)","MAF3"
"AT5G66860",9584,-0.24,"Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain-containing protein(AT5G66860)","AT5G66860"
"ATMG00520",9531,-0.24,"MATR","MATR"
"ATMG00830",9593,-0.24,"CCB382","CCB382"
"ATMG01200",9845,-0.24,"ORF294","ORF294"
"AT1G01230",9844,-0.25,"ORMDL family protein(AT1G01230)","AT1G01230"
"AT1G01300",9874,-0.25,"Eukaryotic aspartyl protease family protein(AT1G01300)","AT1G01300"
"AT1G02170",9567,-0.25,"metacaspase 1(MC1)","MC1"
"AT1G03180",9557,-0.25,"non-structural protein(AT1G03180)","AT1G03180"
"AT1G05010",9819,-0.25,"ethylene-forming enzyme(EFE)","EFE"
"AT1G05200",9533,-0.25,"glutamate receptor 3.4(GLR3.4)","GLR3.4"
"AT1G07090",9598,-0.25,"LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640)(LSH6)","LSH6"
"AT1G10280",9874,-0.25,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G10280)","AT1G10280"
"AT1G12520",9588,-0.25,"copper chaperone for SOD1(CCS)","CCS"
"AT1G13230",9593,-0.25,"Leucine-rich repeat (LRR) family protein(AT1G13230)","AT1G13230"
"AT1G13750",9524,-0.25,"Purple acid phosphatases superfamily protein(AT1G13750)","AT1G13750"
"AT1G15170",9584,-0.25,"MATE efflux family protein(AT1G15170)","AT1G15170"
"AT1G15840",9568,-0.25,"hypothetical protein(AT1G15840)","AT1G15840"
"AT1G16160",9557,-0.25,"wall associated kinase-like 5(WAKL5)","WAKL5"
"AT1G17120",9880,-0.25,"cationic amino acid transporter 8(CAT8)","CAT8"
"AT1G19320",8357,-0.25,"Pathogenesis-related thaumatin superfamily protein(AT1G19320)","AT1G19320"
"AT1G19500",9832,-0.25,"hypothetical protein(AT1G19500)","AT1G19500"
"AT1G20225",9832,-0.25,"Thioredoxin superfamily protein(AT1G20225)","AT1G20225"
"AT1G21210",9550,-0.25,"wall associated kinase 4(WAK4)","WAK4"
"AT1G23020",9522,-0.25,"ferric reduction oxidase 3(FRO3)","FRO3"
"AT1G24350",9550,-0.25,"Acid phosphatase/vanadium-dependent haloperoxidase-related protein(AT1G24350)","AT1G24350"
"AT1G26300",9871,-0.25,"BSD domain-containing protein(AT1G26300)","AT1G26300"
"AT1G26370",9944,-0.25,"RNA helicase family protein(AT1G26370)","AT1G26370"
"AT1G27960",9567,-0.25,"evolutionarily conserved C-terminal region 9(ECT9)","ECT9"
"AT1G29260",9587,-0.25,"peroxin 7(PEX7)","PEX7"
"AT1G29280",9593,-0.25,"WRKY DNA-binding protein 65(WRKY65)","WRKY65"
"AT1G31830",9550,-0.25,"Amino acid permease family protein(PUT2)","PUT2"
"AT1G31950",9832,-0.25,"Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT1G31950)","AT1G31950"
"AT1G33770",9871,-0.25,"Protein kinase superfamily protein(AT1G33770)","AT1G33770"
"AT1G34420",9568,-0.25,"leucine-rich repeat transmembrane protein kinase family protein(AT1G34420)","AT1G34420"
"AT1G44414",9844,-0.25,"zinc-ribbon domain protein(AT1G44414)","AT1G44414"
"AT1G44820",9526,-0.25,"Peptidase M20/M25/M40 family protein(AT1G44820)","AT1G44820"
"AT1G44970",9568,-0.25,"Peroxidase superfamily protein(AT1G44970)","AT1G44970"
"AT1G48340",9819,-0.25,"miscRNA(AT1G48340)","AT1G48340"
"AT1G49140",9844,-0.25,"NADH dehydrogenase ubiquinone 1 beta subcomplex subunit 10-B-like protein (Complex I subunit NDUFS6)(AT1G49140)","AT1G49140"
"AT1G49560",9845,-0.25,"Homeodomain-like superfamily protein(AT1G49560)","AT1G49560"
"AT1G49670",9522,-0.25,"ARP protein (REF)(NQR)","NQR"
"AT1G49970",9874,-0.25,"CLP protease proteolytic subunit 1(CLPR1)","CLPR1"
"AT1G51450",9567,-0.25,"TRAUCO(TRO)","TRO"
"AT1G54990",9944,-0.25,"alpha/beta-Hydrolases superfamily protein(AXR4)","AXR4"
"AT1G56230",9819,-0.25,"enolase (DUF1399)(AT1G56230)","AT1G56230"
"AT1G58400",9871,-0.25,"Disease resistance protein (CC-NBS-LRR class) family(AT1G58400)","AT1G58400"
"AT1G59520",9547,-0.25,"CW7(CW7)","CW7"
"AT1G60260",9522,-0.25,"beta glucosidase 5(BGLU5)","BGLU5"
"AT1G61310",9601,-0.25,"LRR and NB-ARC domains-containing disease resistance protein(AT1G61310)","AT1G61310"
"AT1G61460",9518,-0.25,"G-type lectin S-receptor-like Serine/Threonine-kinase(AT1G61460)","AT1G61460"
"AT1G62262",9524,-0.25,"SLAC1 homologue 4(SLAH4)","SLAH4"
"AT1G64640",9526,-0.25,"early nodulin-like protein 8(ENODL8)","ENODL8"
"AT1G64950",9905,-0.25,"cytochrome P450, family 89, subfamily A, polypeptide 5(CYP89A5)","CYP89A5"
"AT1G65650",9905,-0.25,"Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1(UCH2)","UCH2"
"AT1G66783",9846,-0.25,"ncRNA(MIR157a)","MIR157a"
"AT1G67620",9547,-0.25,"Lojap-related protein(AT1G67620)","AT1G67620"
"AT1G68220",9524,-0.25,"aerobic coproporphyrinogen-III oxidase (DUF1218)(AT1G68220)","AT1G68220"
"AT1G70010",9550,-0.25,"hypothetical protein(AT1G70010)","AT1G70010"
"AT1G74120",9855,-0.25,"Mitochondrial transcription termination factor family protein(AT1G74120)","AT1G74120"
"AT1G75040",9587,-0.25,"pathogenesis-related protein 5(PR5)","PR5"
"AT1G76100",9557,-0.25,"plastocyanin 1(PETE1)","PETE1"
"AT1G78000",9832,-0.25,"sulfate transporter 1;2(SULTR1;2)","SULTR1;2"
"AT1G78870",9547,-0.25,"ubiquitin-conjugating enzyme 35(UBC35)","UBC35"
"AT1G80670",9567,-0.25,"Transducin/WD40 repeat-like superfamily protein(RAE1)","RAE1"
"AT2G05030",9518,-0.25,"hypothetical protein(AT2G05030)","AT2G05030"
"AT2G13800",9825,-0.25,"somatic embryogenesis receptor-like kinase 5(SERK5)","SERK5"
"AT2G16090",9880,-0.25,"RING/U-box superfamily protein(ARI2)","ARI2"
"AT2G17870",9567,-0.25,"cold shock domain protein 3(CSP3)","CSP3"
"AT2G19630",9905,-0.25,"F-box and associated interaction domains-containing protein(AT2G19630)","AT2G19630"
"AT2G20010",9944,-0.25,"Gls protein (DUF810)(AT2G20010)","AT2G20010"
"AT2G20470",9524,-0.25,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT2G20470)","AT2G20470"
"AT2G21187",9586,-0.25,"ncRNA(AT2G21187)","AT2G21187"
"AT2G22120",9845,-0.25,"RING/FYVE/PHD zinc finger superfamily protein(AT2G22120)","AT2G22120"
"AT2G26230",9825,-0.25,"uricase / urate oxidase / nodulin 35(AT2G26230)","AT2G26230"
"AT2G26780",9543,-0.25,"ARM repeat superfamily protein(AT2G26780)","AT2G26780"
"AT2G29010",9543,-0.25,"miscRNA(AT2G29010)","AT2G29010"
"AT2G29580",9845,-0.25,"CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein(MAC5B)","MAC5B"
"AT2G29950",9567,-0.25,"ELF4-like 1(ELF4-L1)","ELF4-L1"
"AT2G34490",9522,-0.25,"cytochrome P450, family 710, subfamily A, polypeptide 2(CYP710A2)","CYP710A2"
"AT2G35510",9874,-0.25,"similar to RCD one 1(SRO1)","SRO1"
"AT2G38360",9560,-0.25,"prenylated RAB acceptor 1.B4(PRA1.B4)","PRA1.B4"
"AT2G39380",9543,-0.25,"exocyst subunit exo70 family protein H2(EXO70H2)","EXO70H2"
"AT2G39930",9880,-0.25,"isoamylase 1(ISA1)","ISA1"
"AT2G40280",8357,-0.25,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G40280)","AT2G40280"
"AT2G41342",9547,-0.25,"hypothetical protein(AT2G41342)","AT2G41342"
"AT2G42600",9846,-0.25,"phosphoenolpyruvate carboxylase 2(PPC2)","PPC2"
"AT2G44050",9522,-0.25,"6,7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase(COS1)","COS1"
"AT2G47800",9905,-0.25,"multidrug resistance-associated protein 4(ABCC4)","ABCC4"
"AT3G01860",9601,-0.25,"hypothetical protein(AT3G01860)","AT3G01860"
"AT3G03720",9518,-0.25,"cationic amino acid transporter 4(CAT4)","CAT4"
"AT3G07720",9550,-0.25,"Galactose oxidase/kelch repeat superfamily protein(AT3G07720)","AT3G07720"
"AT3G10260",9567,-0.25,"Reticulon family protein(AT3G10260)","AT3G10260"
"AT3G10390",9845,-0.25,"protein FLOWERING locus D-like protein(FLD)","FLD"
"AT3G12520",9855,-0.25,"sulfate transporter 4;2(SULTR4;2)","SULTR4;2"
"AT3G15640",9524,-0.25,"Rubredoxin-like superfamily protein(AT3G15640)","AT3G15640"
"AT3G15940",9880,-0.25,"UDP-Glycosyltransferase superfamily protein(AT3G15940)","AT3G15940"
"AT3G20120",9598,-0.25,"cytochrome P450, family 705, subfamily A, polypeptide 21(CYP705A21)","CYP705A21"
"AT3G20620",8357,-0.25,"F-box family protein-like protein(AT3G20620)","AT3G20620"
"AT3G26670",9518,-0.25,"magnesium transporter, putative (DUF803)(AT3G26670)","AT3G26670"
"AT3G28430",9524,-0.25,"CLEC16A-like protein(AT3G28430)","AT3G28430"
"AT3G28750",9944,-0.25,"hypothetical protein(AT3G28750)","AT3G28750"
"AT3G32047",9567,-0.25,"Cytochrome P450 superfamily protein(AT3G32047)","AT3G32047"
"AT3G43357",9846,-0.25,"hypothetical protein(AT3G43357)","AT3G43357"
"AT3G44640",9825,-0.25,"hypothetical protein(AT3G44640)","AT3G44640"
"AT3G45050",9871,-0.25,"transmembrane protein(AT3G45050)","AT3G45050"
"AT3G45430",9819,-0.25,"Concanavalin A-like lectin protein kinase family protein(AT3G45430)","AT3G45430"
"AT3G48195",9601,-0.25,"Phox (PX) domain-containing protein(AT3G48195)","AT3G48195"
"AT3G49580",9588,-0.25,"response to low sulfur 1(LSU1)","LSU1"
"AT3G51580",9557,-0.25,"transmembrane protein(AT3G51580)","AT3G51580"
"AT3G52500",9855,-0.25,"Eukaryotic aspartyl protease family protein(AT3G52500)","AT3G52500"
"AT3G54590",9586,-0.25,"hydroxyproline-rich glycoprotein(HRGP1)","HRGP1"
"AT3G55110",9518,-0.25,"ABC-2 type transporter family protein(ABCG18)","ABCG18"
"AT3G55230",9567,-0.25,"Disease resistance-responsive (dirigent-like protein) family protein(AT3G55230)","AT3G55230"
"AT3G56030",9825,-0.25,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G56030)","AT3G56030"
"AT3G56200",9526,-0.25,"Transmembrane amino acid transporter family protein(AT3G56200)","AT3G56200"
"AT3G56780",9832,-0.25,"FBD, F-box and Leucine Rich Repeat domains containing protein(AT3G56780)","AT3G56780"
"AT3G57280",9543,-0.25,"Transmembrane proteins 14C(AT3G57280)","AT3G57280"
"AT3G61700",9944,-0.25,"helicase with zinc finger protein(AT3G61700)","AT3G61700"
"AT3G62270",9593,-0.25,"HCO3- transporter family(AT3G62270)","AT3G62270"
"AT4G00080",9588,-0.25,"Plant invertase/pectin methylesterase inhibitor superfamily protein(UNE11)","UNE11"
"AT4G02600",9587,-0.25,"Seven transmembrane MLO family protein(MLO1)","MLO1"
"AT4G02940",9588,-0.25,"oxidoreductase, 2OG-Fe(II) oxygenase family protein(AT4G02940)","AT4G02940"
"AT4G03400",9846,-0.25,"Auxin-responsive GH3 family protein(DFL2)","DFL2"
"AT4G06599",9524,-0.25,"ubiquitin family protein(AT4G06599)","AT4G06599"
"AT4G06746",9567,-0.25,"related to AP2 9(RAP2.9)","RAP2.9"
"AT4G08100",9550,-0.25,"hypothetical protein(AT4G08100)","AT4G08100"
"AT4G08940",9531,-0.25,"Ubiquitin carboxyl-terminal hydrolase family protein(AT4G08940)","AT4G08940"
"AT4G11680",9871,-0.25,"Zinc finger, C3HC4 type (RING finger) family protein(AT4G11680)","AT4G11680"
"AT4G11710",9905,-0.25,"hypothetical protein(AT4G11710)","AT4G11710"
"AT4G13400",9560,-0.25,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G13400)","AT4G13400"
"AT4G14570",9531,-0.25,"acylaminoacyl-peptidase-like protein(AARE)","AARE"
"AT4G15280",9825,-0.25,"UDP-glucosyl transferase 71B5(UGT71B5)","UGT71B5"
"AT4G16580",9874,-0.25,"Protein phosphatase 2C family protein(AT4G16580)","AT4G16580"
"AT4G22050",6970,-0.25,"Eukaryotic aspartyl protease family protein(AT4G22050)","AT4G22050"
"AT4G23010",9845,-0.25,"UDP-galactose transporter 2(UTR2)","UTR2"
"AT4G25640",9550,-0.25,"detoxifying efflux carrier 35(DTX35)","DTX35"
"AT4G26910",9880,-0.25,"Dihydrolipoamide succinyltransferase(AT4G26910)","AT4G26910"
"AT4G28800",9586,-0.25,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G28800)","AT4G28800"
"AT4G34680",9543,-0.25,"GATA transcription factor 3(GATA3)","GATA3"
"AT4G35170",9593,-0.25,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT4G35170)","AT4G35170"
"AT4G36110",9533,-0.25,"SAUR-like auxin-responsive protein family(SAUR9)","SAUR9"
"AT4G36210",9586,-0.25,"transmembrane/coiled-coil protein (DUF726)(AT4G36210)","AT4G36210"
"AT4G36830",9522,-0.25,"GNS1/SUR4 membrane protein family(HOS3-1)","HOS3-1"
"AT4G38790",8357,-0.25,"ER lumen protein retaining receptor family protein(AT4G38790)","AT4G38790"
"AT5G04290",9825,-0.25,"kow domain-containing transcription factor 1(KTF1)","KTF1"
"AT5G04310",9832,-0.25,"Pectin lyase-like superfamily protein(AT5G04310)","AT5G04310"
"AT5G05040",9832,-0.25,"Cystatin/monellin superfamily protein(AT5G05040)","AT5G05040"
"AT5G05610",9557,-0.25,"alfin-like 1(AL1)","AL1"
"AT5G05820",9871,-0.25,"Nucleotide-sugar transporter family protein(AT5G05820)","AT5G05820"
"AT5G06730",9588,-0.25,"Peroxidase superfamily protein(AT5G06730)","AT5G06730"
"AT5G06810",9845,-0.25,"transcription termination factor family protein(AT5G06810)","AT5G06810"
"AT5G07250",9905,-0.25,"RHOMBOID-like protein 3(RBL3)","RBL3"
"AT5G08410",9531,-0.25,"ferredoxin/thioredoxin reductase subunit A (variable subunit) 2(FTRA2)","FTRA2"
"AT5G08570",9844,-0.25,"Pyruvate kinase family protein(AT5G08570)","AT5G08570"
"AT5G10290",9593,-0.25,"leucine-rich repeat transmembrane protein kinase family protein(AT5G10290)","AT5G10290"
"AT5G10810",9531,-0.25,"enhancer of rudimentary protein(ER)","ER"
"AT5G13930",9905,-0.25,"Chalcone and stilbene synthase family protein(TT4)","TT4"
"AT5G15240",9593,-0.25,"Transmembrane amino acid transporter family protein(AT5G15240)","AT5G15240"
"AT5G19440",9601,-0.25,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G19440)","AT5G19440"
"AT5G20610",9845,-0.25,"EEIG1/EHBP1 protein amino-terminal domain protein(AT5G20610)","AT5G20610"
"AT5G22290",9588,-0.25,"NAC domain containing protein 89(NAC089)","NAC089"
"AT5G22620",9587,-0.25,"phosphoglycerate/bisphosphoglycerate mutase family protein(AT5G22620)","AT5G22620"
"AT5G25100",9567,-0.25,"Endomembrane protein 70 protein family(AT5G25100)","AT5G25100"
"AT5G25360",8357,-0.25,"hypothetical protein(AT5G25360)","AT5G25360"
"AT5G28430",9543,-0.25,"hypothetical protein(AT5G28430)","AT5G28430"
"AT5G32621",9905,-0.25,"hypothetical protein(AT5G32621)","AT5G32621"
"AT5G33270",9524,-0.25,"hypothetical protein(AT5G33270)","AT5G33270"
"AT5G35344",9844,-0.25,"hypothetical protein(AT5G35344)","AT5G35344"
"AT5G37260",9526,-0.25,"Homeodomain-like superfamily protein(RVE2)","RVE2"
"AT5G38340",9832,-0.25,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G38340)","AT5G38340"
"AT5G39040",9567,-0.25,"transporter associated with antigen processing protein 2(ABCB27)","ABCB27"
"AT5G42740",9518,-0.25,"Sugar isomerase (SIS) family protein(AT5G42740)","AT5G42740"
"AT5G43030",6970,-0.25,"Cysteine/Histidine-rich C1 domain family protein(AT5G43030)","AT5G43030"
"AT5G44005",9845,-0.25,"hypothetical protein(AT5G44005)","AT5G44005"
"AT5G44820",9568,-0.25,"Nucleotide-diphospho-sugar transferase family protein(AT5G44820)","AT5G44820"
"AT5G46140",9533,-0.25,"hypothetical protein (DUF295)(AT5G46140)","AT5G46140"
"AT5G46420",9905,-0.25,"16S rRNA processing protein RimM family(AT5G46420)","AT5G46420"
"AT5G47860",8357,-0.25,"Gut esterase (DUF1350)(AT5G47860)","AT5G47860"
"AT5G47880",9522,-0.25,"eukaryotic release factor 1-1(ERF1-1)","ERF1-1"
"AT5G50200",9587,-0.25,"nitrate transmembrane transporter(WR3)","WR3"
"AT5G51480",9568,-0.25,"SKU5 similar 2(SKS2)","SKS2"
"AT5G53550",8357,-0.25,"YELLOW STRIPE like 3(YSL3)","YSL3"
"AT5G56450",9832,-0.25,"Mitochondrial substrate carrier family protein(PM-ANT)","PM-ANT"
"AT5G57590",6970,-0.25,"adenosylmethionine-8-amino-7-oxononanoate transaminase(BIO1)","BIO1"
"AT5G58240",9905,-0.25,"FRAGILE HISTIDINE TRIAD(FHIT)","FHIT"
"AT5G58290",9522,-0.25,"regulatory particle triple-A ATPase 3(RPT3)","RPT3"
"AT5G59000",9526,-0.25,"RING/FYVE/PHD zinc finger superfamily protein(AT5G59000)","AT5G59000"
"AT5G59250",9844,-0.25,"Major facilitator superfamily protein(AT5G59250)","AT5G59250"
"AT5G59470",9568,-0.25,"Mannose-P-dolichol utilization defect 1 protein(AT5G59470)","AT5G59470"
"AT5G59720",9543,-0.25,"heat shock protein 18.2(HSP18.2)","HSP18.2"
"AT5G60620",9601,-0.25,"glycerol-3-phosphate acyltransferase 9(GPAT9)","GPAT9"
"AT5G63260",9593,-0.25,"Zinc finger C-x8-C-x5-C-x3-H type family protein(AT5G63260)","AT5G63260"
"AT5G64450",9944,-0.25,"NYN domain protein(AT5G64450)","AT5G64450"
"AT5G64990",9598,-0.25,"RAB GTPase homolog H1A(RABH1a)","RABH1a"
"AT5G66510",9533,-0.25,"gamma carbonic anhydrase 3(GAMMA CA3)","GAMMA CA3"
"ATMG00650",9560,-0.25,"NAD4L","NAD4L"
"AT1G02475",9550,-0.26,"Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G02475)","AT1G02475"
"AT1G05570",9533,-0.26,"callose synthase 1(CALS1)","CALS1"
"AT1G06148",9944,-0.26,"hypothetical protein(AT1G06148)","AT1G06148"
"AT1G06890",8357,-0.26,"nodulin MtN21 /EamA-like transporter family protein(AT1G06890)","AT1G06890"
"AT1G10330",8357,-0.26,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G10330)","AT1G10330"
"AT1G10500",9588,-0.26,"chloroplast-localized ISCA-like protein(CPISCA)","CPISCA"
"AT1G10950",9905,-0.26,"transmembrane nine 1(TMN1)","TMN1"
"AT1G11220",9844,-0.26,"cotton fiber, putative (DUF761)(AT1G11220)","AT1G11220"
"AT1G11690",9518,-0.26,"BRANCHLESS TRICHOME-like protein(AT1G11690)","AT1G11690"
"AT1G13320",9846,-0.26,"protein phosphatase 2A subunit A3(PP2AA3)","PP2AA3"
"AT1G13607",9819,-0.26,"Defensin-like (DEFL) family protein(AT1G13607)","AT1G13607"
"AT1G14260",9593,-0.26,"RING/FYVE/PHD zinc finger superfamily protein(AT1G14260)","AT1G14260"
"AT1G14530",9568,-0.26,"tobamovirus multiplication-like protein (DUF1084)(THH1)","THH1"
"AT1G15300",9874,-0.26,"hypothetical protein(CYTOSLEEPER)","CYTOSLEEPER"
"AT1G15310",9880,-0.26,"signal recognition particle 54 kDa subunit(ATHSRP54A)","ATHSRP54A"
"AT1G16180",9567,-0.26,"Serinc-domain containing serine and sphingolipid biosynthesis protein(AT1G16180)","AT1G16180"
"AT1G16830",9533,-0.26,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G16830)","AT1G16830"
"AT1G17200",9531,-0.26,"Uncharacterized protein family (UPF0497)(AT1G17200)","AT1G17200"
"AT1G19130",9587,-0.26,"RmlC-like jelly roll fold protein(AT1G19130)","AT1G19130"
"AT1G20430",9524,-0.26,"hypothetical protein(AT1G20430)","AT1G20430"
"AT1G20515",9567,-0.26,"ncRNA(AT1G20515)","AT1G20515"
"AT1G22020",9547,-0.26,"serine hydroxymethyltransferase 6(SHM6)","SHM6"
"AT1G25240",9533,-0.26,"ENTH/VHS/GAT family protein(AT1G25240)","AT1G25240"
"AT1G26590",9587,-0.26,"C2H2-like zinc finger protein(AT1G26590)","AT1G26590"
"AT1G28830",9588,-0.26,"tRNA(AT1G28830)","AT1G28830"
"AT1G30840",9880,-0.26,"purine permease 4(PUP4)","PUP4"
"AT1G43060",9524,-0.26,"hypothetical protein(AT1G43060)","AT1G43060"
"AT1G44790",9518,-0.26,"ChaC-like family protein(AT1G44790)","AT1G44790"
"AT1G45238",9522,-0.26,"tRNA(AT1G45238)","AT1G45238"
"AT1G49340",9531,-0.26,"Phosphatidylinositol 3- and 4-kinase family protein(ATPI4K ALPHA)","ATPI4K ALPHA"
"AT1G51960",9855,-0.26,"IQ-domain 27(IQD27)","IQD27"
"AT1G51980",9874,-0.26,"Insulinase (Peptidase family M16) protein(AT1G51980)","AT1G51980"
"AT1G55430",9550,-0.26,"Cysteine/Histidine-rich C1 domain family protein(AT1G55430)","AT1G55430"
"AT1G56120",9547,-0.26,"Leucine-rich repeat transmembrane protein kinase(AT1G56120)","AT1G56120"
"AT1G58037",9905,-0.26,"Cysteine/Histidine-rich C1 domain family protein(AT1G58037)","AT1G58037"
"AT1G58170",9533,-0.26,"Disease resistance-responsive (dirigent-like protein) family protein(AT1G58170)","AT1G58170"
"AT1G63010",9557,-0.26,"Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein(AT1G63010)","AT1G63010"
"AT1G64170",9586,-0.26,"cation/H+ exchanger 16(CHX16)","CHX16"
"AT1G67325",9568,-0.26,"Ran BP2/NZF zinc finger-like superfamily protein(AT1G67325)","AT1G67325"
"AT1G68680",9584,-0.26,"SH3/FCH domain protein(AT1G68680)","AT1G68680"
"AT1G68710",9588,-0.26,"ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT1G68710)","AT1G68710"
"AT1G69500",9855,-0.26,"cytochrome P450, family 704, subfamily B, polypeptide 1(CYP704B1)","CYP704B1"
"AT1G70330",9524,-0.26,"equilibrative nucleotide transporter 1(ENT1)","ENT1"
"AT1G71400",9526,-0.26,"receptor like protein 12(RLP12)","RLP12"
"AT1G72020",9819,-0.26,"TonB-dependent heme receptor A(AT1G72020)","AT1G72020"
"AT1G72790",9844,-0.26,"hydroxyproline-rich glycoprotein family protein(AT1G72790)","AT1G72790"
"AT1G72810",9846,-0.26,"Pyridoxal-5'-phosphate-dependent enzyme family protein(AT1G72810)","AT1G72810"
"AT1G73600",9524,-0.26,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G73600)","AT1G73600"
"AT1G74540",9526,-0.26,"cytochrome P450, family 98, subfamily A, polypeptide 8(CYP98A8)","CYP98A8"
"AT1G75620",9526,-0.26,"glyoxal oxidase-related protein(AT1G75620)","AT1G75620"
"AT1G75860",9845,-0.26,"DNA ligase(AT1G75860)","AT1G75860"
"AT1G75960",9905,-0.26,"AMP-dependent synthetase and ligase family protein(AT1G75960)","AT1G75960"
"AT1G77610",9832,-0.26,"EamA-like transporter family protein(AT1G77610)","AT1G77610"
"AT1G79090",6970,-0.26,"topoisomerase II-associated protein(AT1G79090)","AT1G79090"
"AT1G79230",9567,-0.26,"mercaptopyruvate sulfurtransferase 1(MST1)","MST1"
"AT2G02020",9547,-0.26,"Major facilitator superfamily protein(PTR4)","PTR4"
"AT2G02390",9524,-0.26,"glutathione S-transferase zeta 1(GSTZ1)","GSTZ1"
"AT2G02750",9874,-0.26,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G02750)","AT2G02750"
"AT2G03380",9560,-0.26,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G03380)","AT2G03380"
"AT2G04090",9518,-0.26,"MATE efflux family protein(AT2G04090)","AT2G04090"
"AT2G06050",9531,-0.26,"oxophytodienoate-reductase 3(OPR3)","OPR3"
"AT2G07030",9874,-0.26,"hypothetical protein(AT2G07030)","AT2G07030"
"AT2G14720",9524,-0.26,"vacuolar sorting receptor 4(VSR4)","VSR4"
"AT2G14950",9819,-0.26,"hypothetical protein(AT2G14950)","AT2G14950"
"AT2G15810",9560,-0.26,"hypothetical protein(AT2G15810)","AT2G15810"
"AT2G16005",9846,-0.26,"MD-2-related lipid recognition domain-containing protein(AT2G16005)","AT2G16005"
"AT2G17130",9550,-0.26,"isocitrate dehydrogenase subunit 2(IDH2)","IDH2"
"AT2G17480",9533,-0.26,"Seven transmembrane MLO family protein(MLO8)","MLO8"
"AT2G19350",9533,-0.26,"transmembrane protein (DUF872)(AT2G19350)","AT2G19350"
"AT2G23093",9567,-0.26,"Major facilitator superfamily protein(AT2G23093)","AT2G23093"
"AT2G24860",8357,-0.26,"DnaJ/Hsp40 cysteine-rich domain superfamily protein(AT2G24860)","AT2G24860"
"AT2G27200",9567,-0.26,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G27200)","AT2G27200"
"AT2G27370",9846,-0.26,"Uncharacterized protein family (UPF0497)(CASP3)","CASP3"
